pctChg1,pctChg2,pctChg3,pctChg4,pctChg5,pctChg6,pctChg7,pctChg8,pctChg9,pctChg10,pctChg11,pctChg12,pctChg13,pctChg14,y
2.369,-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,0
-0.549,1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,1
1.089,-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,0
-0.444,0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,1
0.573,1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,0
1.326,3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,0
3.95,-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,1
-0.06,2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,1
2.357,-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0
-0.32,-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0.269,1
-0.905,0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0.269,0.225,0
0.632,-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,0
-0.731,0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,0
0.634,-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,0
-0.953,-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,0
-0.212,1.043,0.193,1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,0
1.043,0.193,1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,0
0.193,1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,1
1.928,2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,0
2.695,-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,1
-0.533,0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,1
0.019,0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,0
0.269,0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,0
0.225,-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,0
-0.707,2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0
2.688,-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0.374,0
-0.41,-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1
-3.662,-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1.741,0
-2.77,-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1.741,1.858,0
-1.482,-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1.741,1.858,1.206,0
-0.544,-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,0
-0.458,9.188,-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,0
9.188,-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,0
-1.242,0.776,1.838,1.879,2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,1
0.776,1.838,1.879,2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,0
1.838,1.879,2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,0
1.879,2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,1
2.808,0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1
0.374,-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,1
-1.742,1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,0
1.741,1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,0
1.858,1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1
1.206,-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,1
-5.099,3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,1
3.352,-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,0
-4.962,-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,1
-6.137,6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,-1.295,0
6.45,-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,-1.295,-1.248,0
-1.878,-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,-1.295,-1.248,3.244,1
-3.09,-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,-1.295,-1.248,3.244,4.634,0
-0.321,1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,-1.295,-1.248,3.244,4.634,3.671,0
1.282,-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,-1.295,-1.248,3.244,4.634,3.671,-0.34,0
-1.561,-0.822,-0.143,1.795,-1.687,-3.059,4.555,-1.295,-1.248,3.244,4.634,3.671,-0.34,0.265,1
